,LOCATION,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
33,IRL,0.262773,0.26684,0.273612,0.276844,0.298238,0.303042,0.305829,0.306931,0.305099,0.316527,0.320861,0.337565,0.366889,0.400951,0.390243,0.429069,0.492185,0.524878,0.542005,0.568929,0.598523,0.642159,0.696614,0.742145,0.761998,0.776947,0.811492,0.809311,0.807114,0.819552,0.78422,0.772232,0.776258,0.797531,0.794088,0.801377,0.80757,0.834449,0.863354,0.913882,0.943948,0.969631,0.981997,1.003935,0.991152,1.011707,0.978232,0.957792,0.944447,0.901284,0.849503,0.831513,0.823072,0.811228,0.819041,0.809686,0.794289,0.794405,0.792214,0.826898,0.801156,0.787487
34,ISL,0.26892,0.302795,0.327999,0.350185,0.399766,0.437986,0.467479,0.467026,0.506353,0.582016,0.589114,0.631075,0.715838,0.892126,1.126972,1.463267,1.840976,2.30017,3.142902,4.089022,5.718237,7.793353,11.277454,19.241838,23.564068,30.170371,36.846082,43.12908,51.297636,60.650866,67.332082,70.577866,71.385489,71.009985,71.335331,71.96463,74.140894,73.664448,76.662759,79.246596,84.733554,88.320979,91.105413,92.608203,93.28674,95.840665,101.632762,107.360854,114.527003,121.975931,132.880921,135.152004,136.96767,137.022617,138.547869,141.974926,140.02995,138.277175,140.970278,145.010743,149.685438,150.642103
35,ISR,,,,,,,,,,,,,,,,,,0.000779,0.001137,0.001857,0.003839,0.007877,0.016859,0.040547,0.189716,0.670383,0.986774,1.157276,1.332083,1.52157,1.700338,1.975795,2.164707,2.349097,2.588353,2.765115,2.972841,3.165286,3.345289,3.504641,3.441675,3.425348,3.462676,3.627071,3.535789,3.716937,3.788703,3.725767,3.867205,3.977921,3.990484,3.944763,3.955358,3.839566,3.940387,3.923925,3.788511,3.751633,3.784664,3.916241,3.851099,3.799707
36,ITA,0.161713,0.164611,0.170241,0.181974,0.190371,0.192968,0.190625,0.190447,0.184766,0.182795,0.187343,0.191104,0.193505,0.206821,0.228163,0.244285,0.271956,0.303357,0.322945,0.34428,0.381485,0.413983,0.458286,0.507591,0.54264,0.574265,0.605082,0.625964,0.644847,0.658977,0.691821,0.719924,0.73463,0.745506,0.755776,0.776713,0.797902,0.804206,0.799833,0.806447,0.805361,0.816516,0.823489,0.833464,0.851864,0.855139,0.822842,0.809381,0.783694,0.771323,0.773129,0.758687,0.747731,0.737299,0.739644,0.738694,0.700544,0.689895,0.681219,0.677835,0.663805,0.654354
37,JPN,170.580543,182.091664,185.490474,192.886602,199.585633,204.136198,207.059861,212.340172,212.45396,210.960952,219.744036,219.790426,222.490691,237.7316,263.49276,258.46426,264.599834,265.934469,259.896757,246.589696,238.459018,224.222097,214.860072,208.716921,204.417343,200.647923,199.857834,194.727042,189.268365,185.969188,183.929177,183.121608,182.025387,178.821299,178.830028,174.240281,170.344605,168.301729,166.384091,162.03574,154.691385,149.641888,143.774205,139.579081,134.401332,129.551955,124.448861,120.319482,116.845814,115.219075,111.709563,107.454281,104.273972,101.302673,103.052076,103.469437,105.519502,105.101901,104.158636,104.305752,101.24037,100.41164
38,KOR,,,,,,,,,,,144.445421,152.884292,169.675419,181.32379,217.250723,245.921836,282.59575,304.520859,346.63358,379.403692,433.749556,461.977353,463.195742,467.222989,470.891921,474.648513,488.38947,499.62921,516.983165,527.653021,559.920181,591.112647,622.893976,646.528116,684.657732,717.702429,733.769744,750.208045,775.06307,754.89297,747.736794,756.699134,769.77179,791.293714,794.711552,788.920135,772.216161,770.085526,785.717886,828.420848,840.991702,854.585723,854.887268,869.081422,871.878106,857.483387,858.809687,872.624771,854.871397,864.630567,824.604924,847.456839
39,LTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.360791,0.422371,0.463802,0.472601,0.461162,0.451723,0.432875,0.42073,0.403992,0.414041,0.435163,0.446252,0.470195,0.492829,0.469393,0.450377,0.451921,0.452657,0.443347,0.44262,0.445858,0.43844,0.44272,0.44662,0.453716,0.455588,0.464377
40,LUX,0.917326,0.875338,0.889061,0.903774,0.939595,0.939631,0.94362,0.921244,0.922572,0.92365,0.971908,0.917486,0.93038,0.989674,1.062148,0.963791,1.025109,0.976455,0.959087,0.941887,0.932283,0.912863,0.952696,0.979301,0.98686,0.986191,0.965912,0.943198,0.936356,0.937262,0.926151,0.912185,0.925118,0.957673,0.970866,0.973102,0.97496,0.973549,0.964396,0.95763,0.955853,0.963649,0.956996,0.964715,0.951208,0.946363,0.916691,0.921418,0.900045,0.903005,0.925638,0.905099,0.90679,0.895254,0.884138,0.881261,0.851894,0.84831,0.848866,0.861888,0.864437,0.851323
41,LVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243,0.29621,0.328117,0.341885,0.353087,0.354315,0.360855,0.353427,0.360954,0.378228,0.399336,0.438594,0.488891,0.565807,0.575542,0.52113,0.487006,0.498506,0.506203,0.499271,0.497558,0.497569,0.484535,0.484537,0.489931,0.502258,0.493237,0.50634
42,MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.903866,3.979939,4.069787,4.09621,4.036851,4.252004,4.193735,4.152054,4.121908,4.087778,3.967548,3.905442,3.891983,3.857213,3.802175,3.730461,3.67482,3.706756,3.801775,3.783112,3.774658,3.672276,3.749629,3.79399,4.033863,3.996445,3.994037,4.02344,3.972381,3.955536,3.941947,3.859583
